PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Leichenko, R				Leichenko, Robin			Climate change and urban resilience	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY			English	Review							COMMUNITY RESILIENCE; SUSTAINABLE CITIES; LATIN-AMERICA; VULNERABILITY; ADAPTATION; SYSTEMS; MITIGATION; COMPLEXITY; FRAMEWORK; DISASTERS	The notion of resilience is gaining increasing prominence across a diverse set of literatures on cities and climate change. Although there is some disagreement among these different literatures about how to define and measure resilience, there is broad consensus that: (1) cities must become resilient to a wider range of shocks and stresses in order to be prepared for climate change; and (2) efforts to foster climate change resilience must be bundled with efforts to promote urban development and sustainability. Emerging issues for future study highlight some of the challenges associated with practical application of resilience approaches. These include responding to equity concerns associated with uneven patterns of resilience both within and across cities, assessing the costs of implementing resilience strategies, and identifying options for harnessing the innovation potential in cities as a means to foster resilience and sustainability.	Rutgers State Univ, Dept Geog, Piscataway, NJ 08854 USA	Rutgers State University New Brunswick	Leichenko, R (corresponding author), Rutgers State Univ, Dept Geog, 54 Joyce Kilmer Ave, Piscataway, NJ 08854 USA.	robin.leichenko@rutgers.edu	McLean, Laurence JA/C-7367-2014; Leichenko, Robin M./C-6047-2013	Leichenko, Robin M./0000-0003-0607-5874	Rutgers University Initiative on Climate and Social Policy	Rutgers University Initiative on Climate and Social Policy	This research was supported by the Rutgers University Initiative on Climate and Social Policy. The author thanks Addle Thomas for research assistance, and the reviewers and editor for their helpful comments and suggestions.		56	410	424	20	338	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1877-3435			CURR OPIN ENV SUST	Curr. Opin. Environ. Sustain.	JUN	2011	3	3					164	168		10.1016/j.cosust.2010.12.014	http://dx.doi.org/10.1016/j.cosust.2010.12.014			5	Green & Sustainable Science & Technology; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Environmental Sciences & Ecology	771QV					2023-10-25	WOS:000291176700008
J	Bristow, DN; Kennedy, CA				Bristow, David N.; Kennedy, Christopher A.			Urban Metabolism and the Energy Stored in Cities Implications for Resilience	JOURNAL OF INDUSTRIAL ECOLOGY			English	Article						energy cycling; energy stock; industrial ecology; residence time; urban metabolism; vulnerability	HONG-KONG; AREA	Using the city of Toronto as a case study, this article examines impacts of energy stocks and flexible demand in the urban metabolism on the resilience of the city, including discussion of directions for further study of the resiliency of the urban metabolism. An important element developed is the nominal residence time of the energy stocks. This value defines how long an energy stock lasts under typical patterns of energy use. The findings suggest that the residence times of many sources of energy overcome vulnerability when energy supply shocks last on the order of hours or a few days, but that the measure is limited to assessing only certain types of commonly used energy sources in aggregate terms. Discussion is included on the uncertainty of this measure and on the metabolic and resiliency implications of new technologies intended to reduce energy use and improve sustainability of cities and the use of the urban metabolism as a means of comparison. The methodology employed highlights how waste energy could be used to increase the resiliency of the city's water supply, but also how the study of the urban metabolism would benefit from a more disaggregate form in the study of sustainable and resilient cities.	[Bristow, David N.; Kennedy, Christopher A.] Univ Toronto, Toronto, ON M5S 1A4, Canada	University of Toronto	Bristow, DN (corresponding author), Univ Toronto, Dept Civil Engn, 35 St George St, Toronto, ON M5S 1A4, Canada.	david.bristow@mail.utoronto.ca		Kennedy, Christopher/0000-0001-8812-4451	Natural Sciences and Engineering Research Council of Canada	Natural Sciences and Engineering Research Council of Canada(Natural Sciences and Engineering Research Council of Canada (NSERC)CGIAR)	This work was supported, in part, by the Natural Sciences and Engineering Research Council of Canada. The authors thank Alexander Hay of the Center for Resilience of Critical Infrastructure at the University of Toronto (Toronto, Ontario, Canada) and the anonymous reviewers for their insights and assistance.		48	39	39	2	69	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1088-1980	1530-9290		J IND ECOL	J. Ind. Ecol.	OCT	2013	17	5					656	667		10.1111/jiec.12038	http://dx.doi.org/10.1111/jiec.12038			12	Green & Sustainable Science & Technology; Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology	232AZ					2023-10-25	WOS:000325461500004
C	Noor, NM; Abdullah, A; Hashim, M; Asmawi, MZ		Schiuma, G; Spender, JC; Yigitcanlar, T		Noor, Norzailawati Mohd; Abdullah, Alias; Hashim, Mazlan; Asmawi, M. Zainora			Managing Urban land use Sprawl in Developing Countries using GIS and Remote Sensing: Towards Resilient Cities	IFKAD - KCWS 2012: 7TH INTERNATIONAL FORUM ON KNOWLEDGE ASSET DYNAMICS, 5TH KNOWLEDGE CITIES WORLD SUMMIT: KNOWLEDGE, INNOVATION AND SUSTAINABILITY: INTEGRATING MICRO & MACRO PERSPECTIVES			English	Proceedings Paper	7th International Forum on Knowledge Asset Dynamics (IFKAD) / 5th Knowledge Cities World Summit (KCWS)	JUN 13-15, 2012	Matera, ITALY	Inst Knowledge Asset Management, Queensland Univ Technol, Univ Basilicata, World Capital Inst		Urban land use; GIS; Remote Sensing; Land use sprawl and Resilient cities		Purpose - The rapidly expanding urban areas of the world constitute an environmental challenge for the 21st century that requires both new analytic approaches and new sources of data and information in micro and macro level. Management of land use sprawl in urban area especially in developing countries using GIS and Remote sensing tools still in vague although these tool may provide the benefit on fundamental observations of urban encroachment and environmental monitoring that are not available from other sources (Batty and Howes, 2001). Therefore, this paper attempts to analyze the capability and reviewing the research and works done recently on GIS and remote sensing in managing urban land use sprawl in developing countries in order to increase the resilience of cities with diverse dynamics. Design/methodology/approach - Increasing availability of GIS and remotely sensed application on urban planning purposes can be seen on capabilities of broad spatial coverage, capacity of routine and unobtrusive updating and the ability to provide self-consistent measurement will be consider as a main indicator in the process of analyzing and reviewing for works have been done. The quantitative and qualitative data analyzed using statistical approach were used in identifying the main success and failures of each study, and the main underlying reasons with comparing the result obtained for the different places in developing countries. An integrated various subsystem allows the analysis of GIS and remote sensing on urban land use sprawl to generate the result of how they manage the urban land use sprawl in further provide number of solid contribution to the wider theoretical debate on this study contexts. Originality/value - This paper represents an attempt to compare and evaluate and determine a degree of synthesize the work that has been done to develop and embed creativity and innovation of space technologies in the urban planning development. The methodology puts in evidence the strength and ability of knowledge on information system for intellectual capital and management especially for urban planning development (Mohd Noor and Hashim, 2009a and 2009b). It relates to recent development of GIS and remote sensing in urban planning which prove that the tool has a value of incorporating the complexity and dynamic of urban area into virtual with consider the relevant mechanism which highly have potential value in real world in terms of micro and macro level. Practical implications - The outcomes of the application entail mostly the theoretical and practical implication on urban development which should take the effect of land use sprawl and try to manage the phenomena with controlling the encroachment and limit the sprawl with using GIS and Remote Sensing in urban area which further can facilitate the organisation and cities in managing the land use sprawl phenomena recently hit the city in developing countries (Wu, 2006).	[Noor, Norzailawati Mohd; Abdullah, Alias; Asmawi, M. Zainora] Int Islamic Univ Malaysia, Urban & Reg Planning Dept, Kuala Lumpur 50278, Malaysia; [Hashim, Mazlan] Univ Teknol Malaysia, Fac Geoinformat Sci & Engn, Inst Geospatial Sci & Technol, Skudai 81300, Malaysia	International Islamic University Malaysia; Universiti Teknologi Malaysia	Noor, NM (corresponding author), Int Islamic Univ Malaysia, Urban & Reg Planning Dept, Kuala Lumpur 50278, Malaysia.		Mohd Noor, Norzailawati/U-1968-2019; Hashim, Mazlan/J-7291-2012	Mohd Noor, Norzailawati/0000-0002-1269-7584; Hashim, Mazlan/0000-0001-8284-3332	International Islamic University of Malaysia [(RU2011: Endowment B)]	International Islamic University of Malaysia	The authors would like to express their deep appreciation for this pre finding and supported grant awarded by International Islamic University of Malaysia research grant (RU2011: Endowment B).		22	0	0	0	20	IKAM-INST KNOWLEDGE ASSET MANAGEMENT	MATERA	VIA D SCHIAVONE 1, MATERA, MT 75100, ITALY			978-88-96687-08-6				2012							718	725						8	Management	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Business & Economics	BDJ73					2023-10-25	WOS:000313556000037
J	Wolfram, M; Vogel, R				Wolfram, Marc; Vogel, Rico			Governance and Design of Urban Infostructures Analysing Key Socio-Technical Systems for the Vulnerability and Resilience of Cities	RAUMFORSCHUNG UND RAUMORDNUNG-SPATIAL RESEARCH AND PLANNING			English	Article						Cities; Vulnerability; Resilience; Socio-technical systems; Local government; Information infrastructures; Spatial data infrastructures; Knowledge; Discourse	SOCIAL-ECOLOGICAL SYSTEMS; SDI	Information, communication and knowledge creation are at the core of urban stakeholder interactions enabling the identification of vulnerabilities and the design of adequate responses to them. Urban infostructures play a crucial role within these processes, interfacing between a city's ecological, social, technical, economic and political networks. Against this backdrop, this paper discusses the governance and design of urban infostructures from a socio-technical systems perspective. It, therefore, reviews pertinent technology components, as well as institutional and discursive frameworks and their respective influence on the identification and assessment of vulnerabilities and resilience building in cities. It concludes that approaches to developing urban infostructures should be a major concern when addressing urban resilience. There is a need to fully account for the hybrid character of urban infostructures as socio-technical systems, while also seizing opportunities for targeted transformation.	[Wolfram, Marc; Vogel, Rico] Leibniz Inst Ecol Urban & Reg Dev, Weberplatz 1, D-01217 Dresden, Germany	Leibniz Institut fur okologische Raumentwicklung	Wolfram, M (corresponding author), Leibniz Inst Ecol Urban & Reg Dev, Weberplatz 1, D-01217 Dresden, Germany.	m.wolfram@ioer.de; r.vogel@ioer.de		Wolfram, Marc/0000-0003-3070-0836					69	4	4	0	0	OEKOM VERLAG GMBH	MUNICH	WALTHERSTR 29, MUNICH, 80337, GERMANY	0034-0111	1869-4179		RAUMFORSCH RAUMORDN	Raumforsch. Raumordn.	AUG	2012	70	4					323	336		10.1007/s13147-012-0169-8	http://dx.doi.org/10.1007/s13147-012-0169-8			14	Geography	Emerging Sources Citation Index (ESCI)	Geography	V3E8U		gold			2023-10-25	WOS:000218192300007
J	Tromeur, E; Ménard, R; Bailly, JB; Soulié, C				Tromeur, E.; Menard, R.; Bailly, J. -B.; Soulie, C.			Urban vulnerability and resilience within the context of climate change	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES			English	Article								Natural hazards, due to climate change, are particularly damaging in urban areas because of interdependencies of their networks. So, urban resilience has to face up to climate risks. The most impacting phenomenon is the urban heat island (UHI) effect. The storage capacity of heat is depending on shapes of buildings, public spaces, spatial organization, transport or even industrial activities. So, adaptive strategies for improving urban climate could be possible in different ways. In the framework of the French project Resilis, this study characterises urban vulnerability and resilience in terms of energy needs of buildings and outside urban comfort according to the IPCC carbon dioxide emission scenarios B2 and A2 for the period 2050-2100 for 10 French cities. The evolutions of four climate indicators in terms of heating and cooling needs and number of hours when the temperature is above 28 degrees C are then obtained for each city to analyse climate risks and their impacts in urban environment.	[Tromeur, E.; Menard, R.; Bailly, J. -B.; Soulie, C.] Egis Concept Elioth, F-93188 Montreuil, France	Servier	Tromeur, E (corresponding author), Egis Concept Elioth, 4 Rue Dolores Ibarruri, F-93188 Montreuil, France.	eric.tromeur@egis.fr							31	9	9	1	59	COPERNICUS GESELLSCHAFT MBH	GOTTINGEN	BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY	1561-8633	1684-9981		NAT HAZARD EARTH SYS	Nat. Hazards Earth Syst. Sci.		2012	12	5					1811	1821		10.5194/nhess-12-1811-2012	http://dx.doi.org/10.5194/nhess-12-1811-2012			11	Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Geology; Meteorology & Atmospheric Sciences; Water Resources	966IF		gold, Green Submitted			2023-10-25	WOS:000305830400028
J	Schuetze, T; Chelleri, L				Schuetze, Thorsten; Chelleri, Lorenzo			Integrating Decentralized Rainwater Management in Urban Planning and Design: Flood Resilient and Sustainable Water Management Using the Example of Coastal Cities in The Netherlands and Taiwan	WATER			English	Article						climate change; flooding; freshwater scarcity; decentralized rainwater management; climate resilience; urban development; Almere; Hsingchu	CLIMATE-CHANGE; TRANSFORMABILITY; ADAPTABILITY; ADAPTATION; IMPACT	Urbanized delta areas worldwide share a growing tendency of exposure to water stress induced by the effects of climate change and anthropogenic factors, threatening the operation of infrastructure systems and future urban development. The important synergistic impacts coexisting with freshwater scarcity are increasing urbanization rates, subsiding soils, saltwater intrusion in aquifers and rivers, coastal erosion, and increased flooding. Innovative design strategies and concepts for the integration of decentralized rainwater management measures can contribute to the integrated and climate resilient planning of urban spaces that are threatened by climate change scenarios that worsen the security of urban infrastructures and the future availability of fresh water. Decentralized rainwater management, including retention, storage, and reuse strategies that are integrated into spatial planning and urban design, can reduce flood risks while simultaneously enhancing freshwater availability. This paper discusses a paradigm shift in urban water management, from centralized to decentralized management (that is, from threats to opportunities), using the example of two case studies. Concepts and strategies for building climate resilient cities, which address flood control, the protection of freshwater resources, and the harmonization of a natural and more sustainable water balance, are presented for Almere (Rhine Schelde Delta, The Netherlands) and Hsingchu (Dotzpu Delta, Taiwan).	[Schuetze, Thorsten] Sungkyunkwan Univ, Dept Architecture, Suwon 440746, South Korea; [Chelleri, Lorenzo] Autonomous Univ Barcelona, Dept Geog, Barcelona, Spain	Sungkyunkwan University (SKKU); Autonomous University of Barcelona	Schuetze, T (corresponding author), Sungkyunkwan Univ, Dept Architecture, Suwon 440746, South Korea.	t.schuetze@skku.edu; lorenzo.chelleri@uab.es	Mokhtara, Charafeddine/ACV-5174-2022; Schuetze, Thorsten/ABA-5119-2021	Schuetze, Thorsten/0000-0001-7849-2330; Chelleri, Lorenzo/0000-0003-0229-5028	High-Tech Urban Development Program [11 High-tech Urban G04]; Ministry of Land, Transport, and Maritime Affairs of the Korean government; International Science & Technology Cooperation Program of China [2010DFA74490]; Korea Agency for Infrastructure Technology Advancement (KAIA) [60501] Funding Source: Korea Institute of Science & Technology Information (KISTI), National Science & Technology Information Service (NTIS)	High-Tech Urban Development Program; Ministry of Land, Transport, and Maritime Affairs of the Korean government(Ministry of Land, Transport and Maritime Affairs (MLTM), Republic of Korea); International Science & Technology Cooperation Program of China; Korea Agency for Infrastructure Technology Advancement (KAIA)(Korea Agency for Infrastructure Technology Advancement (KAIA))	This paper was supported by a grant (11 High-tech Urban G04) from the High-Tech Urban Development Program funded by the Ministry of Land, Transport, and Maritime Affairs of the Korean government.; This paper was also supported by the International Science & Technology Cooperation Program of China (2010DFA74490).		40	22	22	2	147	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2073-4441		WATER-SUI	Water	JUN	2013	5	2					593	616		10.3390/w5020593	http://dx.doi.org/10.3390/w5020593			24	Environmental Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Water Resources	169HD		Green Submitted, gold			2023-10-25	WOS:000320769800016
C	Admiraal, H		Zhou, Y; Cai, J; Sterling, R		Admiraal, Han			UNDERGROUND SPACE AS INVALUABLE RESOURCE FOR RESILIENT CITIES	ADVANCES IN UNDERGROUND SPACE DEVELOPMENT			English	Proceedings Paper	13th World Conference of Associated-Research-Centers-for-the-Urban-Underground-Space (ACUUS)	NOV 07-09, 2012	Singapore, SINGAPORE	Assoc Res Ctr Urban Underground Space, Soc Rock Mech & Engn Geol		Underground space; urban planning; sustainable urban development		Worldwide city authorities are facing problems in terms of rapid urbanization but also in terms of resilience against natural disasters and the effects of climate change. The UN International Strategy for Disaster Reduction program is asking cities 'How resilient is your city'. The ITA Committee on Underground Space (ITACUS) is working together with UNISDR to demonstrate how the use of underground space can contribute to making cities more resilient. The use of underground space is underrated worldwide, yet it can prove to be invaluable to city governments as a strategic planning asset. This paper explores the issues and shows how underground space is already contributing. The main focus will be on those aspects that help cities cope with rapid urbanization and their efforts to become more resilient. Areas which will be explored include buildings, transport, energy supply, water and waste. The question will also be raised whether the use of underground space can take place as an autonomous activity or whether planning the use of underground space is required. In the opinion of the author the latter is the case. City governments require awareness of both the advantages of underground space use but also of the need to plan using this asset in a sustainable way. Only in that way will the use of underground space be to the advantage of cities.	[Admiraal, Han] ITA Comm Underground Space ITACUS, Lausanne, Switzerland; [Admiraal, Han] Enprodes Management Consultancy, Rotterdam, Netherlands			han.admiraal@enprodes.nl		Admiraal, Han/0000-0001-8869-9335					12	1	1	3	37	RESEARCH PUBLISHING SERVICES	SINGAPORE	NO 83 GENTING LANE, #08-01, GENTING BUILDING, SINGAPORE, 349568, SINGAPORE			978-981-07-3757-3				2013							943	950		10.3850/978-981-07-3757-3_RP-056-P277	http://dx.doi.org/10.3850/978-981-07-3757-3_RP-056-P277			8	Architecture; Engineering, Civil; Engineering, Geological; Urban Studies	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Architecture; Engineering; Urban Studies	BC0WC					2023-10-25	WOS:000349674600098
C	Chen, N; Graham, P		OttoZimmermann, K		Chen, Nan; Graham, Peter			Climate Change as a Survival Strategy: Soft Infrastructure for Urban Resilience and Adaptive Capacity in Australia's Coastal Zones	RESILIENT CITIES: CITIES AND ADAPTATION TO CLIMATE CHANGE - PROCEEDINGS OF THE GLOBAL FORUM 2010	Local Sustainability		English	Proceedings Paper	1st Annual Global Forum on Cities and Adaptation to Climate Change. Resilient Cities 2010	MAY 28-30, 2010	ICLEI, Bonn, GERMANY	EU European Regional Dev Fund, State N Rhine Westphalia, Fdn Int Dialogue Savings Bank Bonn, Solar World, Rockefeller Fdn, UNISDR, USAID, World Bank Inst	ICLEI	Climate change adaptation; Resilience theory; Risk management; Urban planning; Vulnerable coastal settlements	METAPHOR	This paper outlines the conflicts and synergies between risk and resilience approaches to climate change adaptation planning in vulnerable coastal areas of Australia. It examines whether current planning processes shaping vulnerable coastal settlements in Australia are sufficiently informed to build adaptive capacity for their communities under climate change impacts. Considerable research to date has focused on the application of risk management in identifying vulnerabilities and predicted worst-case scenarios. This approach often proposes 'hard' infrastructure changes for climate change adaptation. However, little work has been done looking at the processes for implementing and supporting such adaptation strategies while addressing the inherent uncertainty of future climate change impacts. This so-called 'soft' infrastructure is critical to building a community's ability to innovate and prosper while adapting to unforeseen challenges posed by a changing climate. It is argued that introducing concepts of resilience to municipal planning processes for vulnerable coastal settlements, particularly in development control plans (DCP's) may provide a more comprehensive approach to climate change adaptation.	[Chen, Nan; Graham, Peter] Univ New S Wales, Fac Built Environm, Sydney, NSW 2052, Australia	University of New South Wales Sydney		nan.chen@csiro.au; peter.g@unsw.edu.au	Roslan, Ahmad Farhan/AAE-3178-2019						43	4	4	1	25	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES			978-94-007-0784-9	LOCAL SUSTAIN			2011	1						379	388		10.1007/978-94-007-0785-6_38	http://dx.doi.org/10.1007/978-94-007-0785-6_38			10	Environmental Sciences; Environmental Studies; Urban Studies	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Environmental Sciences & Ecology; Urban Studies	BVQ12					2023-10-25	WOS:000292277300038
J	Friend, R; Moench, M				Friend, Richard; Moench, Marcus			What is the purpose of urban climate resilience? Implications for addressing poverty and vulnerability	URBAN CLIMATE			English	Article						Urban climate resilience; Poverty; Vulnerability; Systems	PERSPECTIVES; ADAPTATION; CAPACITY; ECOLOGY; POOR	This paper considers how development policy concerns for poverty reduction and social justice can be accommodated in emerging theories and practice on urban resilience and adaptation in response to climate change. There is growing interest in applying resilience to address the challenges of urban climate change. The application of resilience theory has considerable potential for furthering our understanding of the particulars of urban climate vulnerability with its emphasis on complex systems that are increasingly important to urban life. But there are also significant risks. Resilience theory does not adequately address critical issues of power, voice and equity. Moreover, much of the uptake of resilience is as a buzzword rather than a conceptual framework. As such, the discourse of resilience has connotations that can run counter to interests of poverty reduction. Drawing on experience in Asia, the authors argue for a critical application of resilience, with special attention to concerns of resilience for and by whom. (C) 2013 Elsevier Ltd. All rights reserved.	[Friend, Richard] ISET, 3rd Floor,33 Sukhumvit Soi 51, Bangkok 10110, Thailand; [Moench, Marcus] ISET, Boulder, CO 80304 USA		Friend, R (corresponding author), ISET, 3rd Floor,33 Sukhumvit Soi 51, Bangkok 10110, Thailand.	richardfriend10@gmail.com; marcus@i-s-e-t.org	Friend, Richard/ABB-3929-2021	Friend, Richard/0000-0001-5861-1523	Rockefeller Foundation under the Asian Cities Climate Change Resilience Network (ACCCRN) program	Rockefeller Foundation under the Asian Cities Climate Change Resilience Network (ACCCRN) program	The authors would like to acknowledge the financial support of the Rockefeller Foundation under the Asian Cities Climate Change Resilience Network (ACCCRN) program. The paper has benefited from critical review from Sarah Reed, Ken MacClune, Chris Bene, Jim Jarvie, Chris Allen and Lea Sabbag, and from discussions on earlier versions with Ashvin Dayal, Shiraz Wajih, Sean Granville-Ross and other ACCCRN partners. As always, any weaknesses remain the responsibility of the authors.		63	100	102	0	11	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	2212-0955			URBAN CLIM	Urban CLim.	DEC	2013	6						98	113		10.1016/j.uclim.2013.09.002	http://dx.doi.org/10.1016/j.uclim.2013.09.002			16	Environmental Sciences; Meteorology & Atmospheric Sciences	Emerging Sources Citation Index (ESCI)	Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences	VE1AT					2023-10-25	WOS:000438427500006
C	Hordijk, M; Baud, I		OttoZimmermann, K		Hordijk, Michaela; Baud, Isa			Inclusive Adaptation: Linking Participatory Learning and Knowledge Management to Urban Resilience	RESILIENT CITIES: CITIES AND ADAPTATION TO CLIMATE CHANGE - PROCEEDINGS OF THE GLOBAL FORUM 2010	Local Sustainability		English	Proceedings Paper	1st Annual Global Forum on Cities and Adaptation to Climate Change. Resilient Cities 2010	MAY 28-30, 2010	ICLEI, Bonn, GERMANY	EU European Regional Dev Fund, State N Rhine Westphalia, Fdn Int Dialogue Savings Bank Bonn, Solar World, Rockefeller Fdn, UNISDR, USAID, World Bank Inst	ICLEI	Adaptive urban governance; Knowledge systems; Participatory knowledge management; Resilience; Risk		Uncertainty, unpredictability and change have become key characteristics of today's interdependent world. Although risks, disasters and crises are inherent to human existence, the speed, frequency and scale at which they occur today are unprecedented. Natural disasters related to global warming have increased in the last decade. Although climate change is considered a global problem, its impacts are felt locally. Cities, then, must respond earlier and more effectively to risks and hazards. Although both 'resilience thinking' and 'community based adaptation' have made headway, they have been mainly applied to rural areas and natural resource management at regional levels within social-ecological systems. This paper applies the lessons of resilience thinking and experiences in community-based adaptation efforts to urban areas. The paper argues that participatory knowledge management systems can enhance resilience in urban areas. Participatory knowledge management systems equip stakeholders at the local level to deal more effectively with sudden change, risks, and long-term stresses. Simultaneously, they can foster social capital and trust, strategic leadership, and enhance collective competence - all important components of resilient systems.	[Hordijk, Michaela; Baud, Isa] Univ Amsterdam, Dept Geog Planning & Int Dev Studies, NL-1018 VZ Amsterdam, Netherlands	University of Amsterdam		m.a.hordijk@uva.nl; I.s.a.Baud@uva.nl							30	11	11	1	31	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES			978-94-007-0784-9	LOCAL SUSTAIN			2011	1						111	121		10.1007/978-94-007-0785-6_11	http://dx.doi.org/10.1007/978-94-007-0785-6_11			11	Environmental Sciences; Environmental Studies; Urban Studies	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Environmental Sciences & Ecology; Urban Studies	BVQ12					2023-10-25	WOS:000292277300011
C	Campisano, A; Nie, LM; Li, PJ		Zhao, S; Xie, YM; Liu, H; Gao, D		Campisano, Alberto; Nie, Linmei; Li, Pingju			Retention Performance of Domestic Rain Water Harvesting Tank under Climate Change Conditions	CIVIL ENGINEERING, ARCHITECTURE AND SUSTAINABLE INFRASTRUCTURE II, PTS 1 AND 2	Applied Mechanics and Materials		English	Proceedings Paper	2nd International Conference on Civil Engineering, Architecture and Sustainable Infrastructure (ICCEASI 2013)	JUL 13-15, 2013	Zhengzhou, PEOPLES R CHINA	N China Univ Water Resources & Elect Power, RMIT Univ, Henan Prov Collaborat Innovat Ctr New Town Construct Technol, Zhengzhou Univ, Wuhan Univ, Dalian Univ Technol, Changsha Univ Sci & Technol, Changzhou Inst Technol, China Civil Engn Soc, Fiber Concrete Comm, China Assoc Engn Construct Standardizat, Concrete Specialist Comm, Henan Civil Engn & Architecture Soc, Henan Hydraul Engn Soc, ZJU Neuromamat Lab, Poly U FCE Joint Lab Intelligent Construct & Smart Decis, Int Cooperat Base Eco Bldg Mat & Structural Engn		rain water harvesting; storage tank; retention; CSOs; flooding; climate change	STORAGE TANKS; RAINWATER; SYSTEMS	The goal of this paper is to investigate the efficiency of domestic Rain Water Harvesting (RWH) tank to reduce the inflow discharge to stormwater sewer systems, which intends to be an option to increase urban resilience to climate change impacts. A dimensionless methodology developed based on a water balance model at daily temporal scale was applied to determine both the obtainable water saving due to the use of rain water for toilet flushing (i.e. reduce the use of portable water) and meanwhile reduce stormwater volumes discharging to sewer systems by the tank storage. The methodology and a RWH tank system was evaluated applying the daily rainfall data obtained in two met-stations of Blindern in Oslo and Rygge in Fredrikstad, South Norway. Results show, for all the considered scenarios in the two case studies that the use of the rainwater storage tank can provide significant reduction of water volume discharges to the storm water sewer, accordingly the resulting damages during the extreme events will be reduced.	[Campisano, Alberto] Univ Catania, Dept Civil & Env Eng, I-95125 Catania, Italy; [Li, Pingju] LIWEB Consulting, Y Asker, Norway	University of Catania	Nie, LM (corresponding author), SINTEF Bldg & Infrastruct Res, Forskningsveien 3b, N-0314 Oslo, Norway.	linmei.nie@sintef.no		Campisano, Alberto/0000-0002-8664-8996	Research Council Norway	Research Council Norway(Research Council of Norway)	The research carried out in this paper is a part of research collaboration between the University of Catania and SINTEF, and result of an on-going project of BIVUAC- Building and Infrastructure Vulnerability and Adaptive Capacity to Climate Change (2010-213) financially supported by the Research Council Norway.		25	7	7	0	8	TRANS TECH PUBLICATIONS LTD	DURNTEN-ZURICH	KREUZSTRASSE 10, 8635 DURNTEN-ZURICH, SWITZERLAND	1660-9336		978-3-03785-882-0	APPL MECH MATER			2013	438-439						451	+		10.4028/www.scientific.net/AMM.438-439.451	http://dx.doi.org/10.4028/www.scientific.net/AMM.438-439.451			3	Construction & Building Technology; Engineering, Civil; Engineering, Geological; Materials Science, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Construction & Building Technology; Engineering; Materials Science	BA4PW					2023-10-25	WOS:000336106800095
